invalid_indication_concept_name,mapped_PT_concept_id,mapped_PT_concept_name
Atheroma,37622403,Arteriosclerosis
Atrial fibrillation and flutter,35204953,Atrial fibrillation
Cerebral dysfunction,36718338,Nervous system disorder
Clotting,35104161,Coagulopathy
Collapse,37622442,Circulatory collapse
Distress,36919046,Emotional distress
Human immunodeficiency virus type,36009928,HIV infection
Other bacterial diseases,36110015,Bacterial infection
Other dermatoses,37320108,Dermatosis
Respiratory distress syndrome,37219850,Acute respiratory distress syndrome
Short period,37119550,Polymenorrhoea
Tolerance development,35809331,Drug tolerance
"Tuberculosis of bones and joints, unspecified",36110770,Joint tuberculosis
Uterine contractions,36818836,Uterine contractions during pregnancy
Variants of migraine,36718141,Migraine
Vasodilation,37522360,Vasodilation procedure
Vermiculation,36919098,Abnormal behaviour
Warmth,35809086,Feeling hot
